Iteration,Discriminator Loss,Generator Loss
2520,0.385521,1.428010
2530,0.379195,1.670393
2540,0.331701,1.918677
2550,0.368724,1.388963
2560,0.340148,1.010630
2570,0.430300,1.486110
2580,0.318160,1.571880
2590,0.394338,1.126582
2600,0.337119,1.553069
2610,0.356329,1.496125
2620,0.398333,1.596138
2630,0.316354,1.446958
2640,0.283708,1.809567
2650,0.328179,1.663599
2660,0.301776,1.440246
2670,0.343277,1.261725
2680,0.348657,1.531359
2690,0.277008,0.916939
2700,0.181833,1.202584
2710,0.266685,2.274182
2720,0.351342,1.884546
2730,0.314096,1.586798
2740,0.295249,1.932951
2750,0.324224,1.397669
2760,0.345292,2.109059
2770,0.381288,1.790717
2780,0.438102,1.990819
2790,0.440219,1.918656
2800,0.465380,1.687555
2810,0.422262,1.684556
2820,0.310678,1.522496
2830,0.423077,1.593828
2840,0.463472,1.860265
2850,0.374242,1.715781
2860,0.474876,1.396922
2870,0.404427,1.697300
2880,0.328518,1.585609
2890,0.404306,1.664415
2900,0.447688,1.860600
2910,0.445345,1.874615
2920,0.410368,1.587039
2930,0.383498,1.448560
2940,0.415498,1.863213
2950,0.485065,1.577200
2960,0.447844,1.781489
2970,0.496061,1.854464
2980,0.446427,1.643831
2990,0.353936,0.953637
3000,0.429341,1.547812
3010,0.398316,1.680888
3020,0.391216,2.014591
3030,0.321946,1.080505
3040,0.353804,1.602056
3050,0.417495,1.809728
3060,0.371869,1.608284
3070,0.446570,1.771894
3080,0.424457,1.947496
3090,0.413086,1.997462
3100,0.376202,1.734552
3110,0.482943,1.522527
3120,0.342148,1.277469
3130,0.452445,1.957650
3140,0.486118,1.935504
3150,0.340323,1.930700
3160,0.358798,1.951337
3170,0.416539,2.018908
3180,0.468416,1.600723
3190,0.524330,1.539565
3200,0.337743,1.526324
3210,0.470549,1.890394
3220,0.476024,1.898756
3230,0.460063,1.978403
3240,0.485370,1.770609
3250,0.458174,1.815711
3260,0.403456,2.006593
3270,0.519906,1.737024
3280,0.493779,1.570389
3290,0.481859,1.698527
3300,0.435351,1.171201
3310,0.429404,1.624460
3320,0.510052,1.576393
3330,0.434427,1.794620
3340,0.452341,1.813066
3350,0.463474,1.916078
3360,0.424029,1.876043
3370,0.447066,1.512372
3380,0.364298,1.538437
3390,0.395015,1.860897
3400,0.492175,1.780079
3410,0.319370,1.594141
3420,0.341822,1.642072
3430,0.419295,1.364247
3440,0.288976,2.204366
3450,0.358082,2.062540
3460,0.406601,2.038395
3470,0.296010,2.481408
3480,0.430167,1.844464
3490,0.366126,1.946211
3500,0.475511,1.625120
3510,0.456363,1.676716
3520,0.466893,1.836933
3530,0.476121,1.501358
3540,0.446142,1.771594
3550,0.436022,1.884504
3560,0.456958,1.919720
3570,0.494684,1.768571
3580,0.433534,2.009043
3590,0.378275,2.230168
3600,0.365042,2.027068
3610,0.433851,1.796299
3620,0.365822,2.102439
3630,0.437774,1.909922
3640,0.405116,2.152643
3650,0.361516,2.357479
3660,0.399917,1.908218
3670,0.436339,1.983429
3680,0.398489,1.958690
3690,0.475532,1.674396
3700,0.405097,1.890738
3710,0.304434,2.292291
3720,0.363119,1.564764
3730,0.405721,1.734311
3740,0.410010,1.980132
3750,0.372510,1.929811
3760,0.389589,1.643900
3770,0.429070,1.776477
3780,0.388717,1.677266
3790,0.433861,1.945053
3800,0.404913,1.946063
3810,0.395301,2.177469
3820,0.356138,2.000076
3830,0.396353,1.845448
3840,0.390274,1.674106
3850,0.445890,1.819494
3860,0.349480,1.526624
3870,0.422875,1.875462
3880,0.451201,1.642672
3890,0.360231,1.607355
3900,0.431915,1.749473
3910,0.383099,1.562160
3920,0.427970,1.632571
3930,0.488130,1.640377
3940,0.408462,1.788451
3950,0.493075,1.571083
3960,0.412256,2.037012
3970,0.470429,1.964703
3980,0.468374,1.761713
3990,0.307353,2.007273
4000,0.526023,1.600750
4010,0.442691,1.879180
4020,0.492409,1.777158
4030,0.371753,1.654080
4040,0.430694,1.808351
4050,0.537853,1.568864
4060,0.449778,1.494749
4070,0.427230,2.003832
4080,0.519362,1.542923
4090,0.490733,1.539412
4100,0.455646,1.655313
4110,0.413005,1.740325
4120,0.388190,1.266245
4130,0.377830,2.322289
4140,0.508713,1.467723
4150,0.522687,1.719827
4160,0.417450,1.948670
4170,0.481124,1.417031
4180,0.421657,1.738396
4190,0.490018,1.565356
4200,0.455049,1.609423
4210,0.420742,1.550096
4220,0.455131,1.833272
4230,0.434313,1.780717
4240,0.493304,1.487892
4250,0.456664,1.798948
4260,0.396059,1.698456
4270,0.455890,1.695177
4280,0.412363,1.797884
4290,0.471869,1.745324
4300,0.428185,1.882391
4310,0.467679,1.435831
4320,0.383011,1.630792
4330,0.384797,1.816394
4340,0.505335,1.700636
4350,0.501441,1.658514
4360,0.475277,1.781413
4370,0.496134,1.610951
4380,0.509861,1.759071
4390,0.475290,1.653304
4400,0.410910,1.843983
4410,0.439954,2.053318
4420,0.443274,1.992887
4430,0.485282,1.712341
4440,0.488610,1.656341
4450,0.552749,1.365810
4460,0.454323,1.693642
4470,0.491376,1.685401
4480,0.568239,1.493555
4490,0.433754,1.614589
4500,0.515326,1.658281
4510,0.465557,1.886719
4520,0.497382,1.760631
4530,0.477489,1.665454
4540,0.522952,1.520011
4550,0.498984,1.846988
4560,0.508919,1.618174
4570,0.392384,1.922029
4580,0.460930,1.551809
4590,0.439985,1.869452
4600,0.406170,1.438406
4610,0.425273,1.876403
4620,0.484283,1.560163
4630,0.503651,1.719380
4640,0.407446,1.880369
4650,0.497562,1.659092
4660,0.498825,1.565115
4670,0.519897,1.272832
4680,0.449339,1.739238
4690,0.414548,1.609986
4700,0.460669,1.603492
4710,0.442820,1.882378
4720,0.442011,1.653004
4730,0.405299,1.623813
4740,0.427183,1.704374
4750,0.432059,1.104720
4760,0.482076,1.783329
4770,0.418118,1.971163
4780,0.495788,1.596007
4790,0.579419,1.559864
4800,0.490974,1.541679
4810,0.494394,1.440563
4820,0.487656,1.476499
4830,0.440563,1.689000
4840,0.486546,1.941974
4850,0.481478,1.821251
4860,0.530507,1.651722
4870,0.558278,1.465150
4880,0.495701,1.705217
4890,0.605284,1.452204
4900,0.448992,1.921122
4910,0.477852,1.842327
4920,0.516427,1.503914
4930,0.399333,1.682558
4940,0.472152,1.416809
4950,0.464921,1.576004
4960,0.435942,1.468663
4970,0.500306,1.599558
4980,0.475533,1.712365
4990,0.506846,1.391503
5000,0.481773,1.679523
5010,0.499602,1.487525
5020,0.493862,1.518369
5030,0.500331,1.551118
5040,0.428783,1.667384
5050,0.447375,1.517750
5060,0.494617,1.491856
5070,0.424944,1.869282
5080,0.453424,1.545573
5090,0.462266,1.694223
5100,0.466919,1.794212
5110,0.395797,1.920429
5120,0.487657,1.495926
5130,0.495763,1.458772
5140,0.427736,1.191596
5150,0.573582,1.308683
5160,0.352418,1.433774
5170,0.416348,1.259681
5180,0.482077,1.801992
5190,0.598526,1.515617
5200,0.494182,1.673225
5210,0.498269,1.313816
5220,0.479623,1.407952
5230,0.531539,1.584378
5240,0.403560,1.711524
5250,0.410930,1.492797
5260,0.516251,1.347382
5270,0.490845,1.466440
5280,0.483801,1.436374
5290,0.454161,1.839427
5300,0.575933,1.124136
5310,0.453766,1.613425
5320,0.453165,1.490236
5330,0.471845,1.616144
5340,0.501859,1.608298
5350,0.583231,1.580580
5360,0.526463,1.365969
5370,0.485125,1.436862
5380,0.416564,1.698416
5390,0.423503,1.248501
5400,0.484737,1.440617
5410,0.540595,1.274420
5420,0.481770,1.454743
5430,0.361521,1.991378
5440,0.469683,1.623148
5450,0.501309,1.165893
5460,0.474408,1.409810
5470,0.417760,1.424232
5480,0.352558,1.194830
5490,0.402598,1.354117
5500,0.512124,1.246922
5510,0.466222,1.294906
5520,0.396956,1.436392
5530,0.459361,1.919433
5540,0.491221,1.709893
5550,0.568428,1.199723
5560,0.465125,1.619274
5570,0.477760,1.350734
5580,0.526435,1.530769
5590,0.377022,1.609882
5600,0.480576,1.492513
5610,0.440613,1.194306
5620,0.471296,1.291290
5630,0.407662,1.641972
5640,0.430023,1.767592
5650,0.524142,1.568153
5660,0.394375,1.591642
5670,0.480859,1.441027
5680,0.577159,1.070435
5690,0.523896,1.589201
5700,0.517039,1.408544
5710,0.388922,1.754465
5720,0.524220,1.404716
5730,0.545882,1.418084
5740,0.430599,1.503591
5750,0.462088,1.475061
5760,0.410621,1.611802
5770,0.412222,1.682925
5780,0.412708,1.938916
5790,0.398188,1.828603
5800,0.460995,1.186050
5810,0.380657,1.534008
5820,0.473070,1.244605
5830,0.405571,1.180025
5840,0.383029,1.334936
5850,0.399291,1.440476
5860,0.448440,1.476593
5870,0.446618,1.500467
5880,0.415377,1.443022
5890,0.433731,1.903552
5900,0.452065,1.650917
5910,0.389449,2.089875
5920,0.406062,1.423388
5930,0.446733,1.760502
5940,0.340459,2.781654
5950,0.421541,1.947811
5960,0.451783,1.794343
5970,0.561658,1.512636
5980,0.494297,1.509183
5990,0.535077,1.378835
6000,0.461067,1.431497
6010,0.501381,1.822842
6020,0.450254,1.759215
6030,0.436326,1.823430
6040,0.533040,1.629105
6050,0.520363,1.819779
6060,0.483409,1.586691
6070,0.532152,1.358670
6080,0.435999,1.668685
6090,0.462738,1.424289
6100,0.484748,1.652351
6110,0.484287,1.435086
6120,0.443131,1.534659
6130,0.479787,1.316255
6140,0.542508,1.487607
6150,0.399249,1.251725
6160,0.412676,1.675253
6170,0.551506,1.436900
6180,0.389796,1.492434
6190,0.473898,1.272525
6200,0.432217,1.239709
6210,0.395229,1.385729
6220,0.394538,0.925910
6230,0.511623,1.439247
6240,0.371723,2.330276
6250,0.499458,1.620654
6260,0.548669,1.492212
6270,0.418305,1.685588
6280,0.477420,1.668438
6290,0.559592,1.486655
6300,0.432794,1.459349
6310,0.510886,1.539935
6320,0.500599,1.632585
6330,0.513496,1.364219
6340,0.545839,1.499182
6350,0.491926,1.549558
6360,0.488726,1.691866
6370,0.429904,1.918600
6380,0.459581,1.602236
6390,0.414795,1.251963
6400,0.485367,1.327028
6410,0.506114,1.406317
6420,0.475137,1.781468
6430,0.487278,1.706725
6440,0.442434,1.657280
6450,0.462512,1.673686
6460,0.475535,1.511408
6470,0.522051,1.428568
6480,0.523043,1.670488
6490,0.572427,1.537609
6500,0.448055,1.450007
6510,0.390073,1.336957
6520,0.464522,1.627309
6530,0.460935,1.680763
6540,0.446348,1.623570
6550,0.520628,1.508172
6560,0.529175,1.377466
6570,0.411658,1.555555
6580,0.420806,1.776017
6590,0.550131,1.360335
6600,0.534370,1.617897
6610,0.499420,1.761154
6620,0.534362,1.550982
6630,0.533777,1.516704
6640,0.461730,1.692346
6650,0.463043,1.631747
6660,0.510473,1.603095
6670,0.545896,1.378620
6680,0.535570,1.442059
6690,0.445894,1.646155
6700,0.402398,1.505866
6710,0.363943,1.709755
6720,0.438316,1.409514
6730,0.455744,1.326028
6740,0.411594,1.444971
6750,0.457844,1.482236
6760,0.392609,1.806585
6770,0.538491,1.619273
6780,0.486526,1.466492
6790,0.547201,1.419730
6800,0.491792,1.579473
6810,0.510371,1.323152
6820,0.513013,1.205948
6830,0.461814,1.441511
6840,0.340963,1.608621
6850,0.382305,1.526984
6860,0.442988,1.354954
6870,0.405334,1.817655
6880,0.490718,1.600260
6890,0.498164,1.538190
6900,0.537866,1.632143
6910,0.532804,1.524695
6920,0.538123,1.139340
6930,0.461869,1.517629
6940,0.505911,1.458424
6950,0.510995,1.524040
6960,0.373191,1.536791
6970,0.377140,1.529169
6980,0.424334,1.200266
6990,0.551863,1.790414
7000,0.507141,1.735960
7010,0.471227,1.933498
7020,0.481743,1.667069
7030,0.451471,1.832470
7040,0.480365,1.672056
7050,0.452769,1.738585
7060,0.448022,1.130152
7070,0.378418,2.007418
7080,0.418564,1.735450
7090,0.380279,1.235727
7100,0.392928,1.400872
7110,0.500597,1.654018
7120,0.517155,1.721209
7130,0.571882,1.536527
7140,0.528640,1.749493
7150,0.460516,1.581978
7160,0.428277,1.435243
7170,0.378277,1.881641
7180,0.475488,1.829728
7190,0.508947,1.278871
7200,0.523909,1.412196
7210,0.488591,1.917018
7220,0.511280,1.740420
7230,0.496287,1.640605
7240,0.476017,1.677827
7250,0.538365,1.312799
7260,0.325756,1.656966
7270,0.433882,1.472597
7280,0.496448,1.493438
7290,0.418775,1.230580
7300,0.411598,2.068430
7310,0.505699,1.657219
7320,0.424470,1.675749
7330,0.422058,1.412229
7340,0.493400,1.350768
7350,0.460094,1.131260
7360,0.549034,1.526936
7370,0.420954,1.533753
7380,0.522804,1.357051
7390,0.444610,1.448429
7400,0.417443,1.922283
7410,0.531207,1.484643
7420,0.421303,1.741871
7430,0.454012,1.643658
7440,0.451724,1.689724
7450,0.399593,1.799853
7460,0.479612,1.694403
7470,0.427273,1.726806
7480,0.570423,1.532752
7490,0.551885,1.458552
7500,0.528142,1.605891
7510,0.515250,1.590766
